10.140.0.153,Проспект Победы,46,Mikrotik Wireless 60G
10.162.0.230,62640,Mikrotik Wireless 60G,
10.162.0.3,,Mikrotik Wireless 60G,
10.162.0.4,,Mikrotik Wireless 60G,
10.147.0.19,,Mikrotik Dyne Dish 6,
10.147.0.26,,Mikrotik Dyne Dish 6,
10.111.11.225,,Mikrotik Stx6,
10.111.11.226,,Mikrotik Stx6,
10.162.0.7,,Mikrotik Wireless 60G,
10.162.0.8,,Mikrotik Wireless 60G,
10.162.0.9,,Mikrotik Wireless 60G,
10.162.0.19,,Mikrotik Wireless 60G,
10.111.10.211,,Mikrotik Stx6,
10.111.10.212,,Mikrotik Stx6,
10.142.0.91,,Mikrotik Stx6,
10.142.0.90,,Mikrotik Stx6,
10.131.0.45,,Mikrotik Wireless 60G,
10.131.0.46,,Mikrotik Wireless 60G,
10.138.0.29,,Mikrotik Dyne Dish 6,
10.138.0.32,,Mikrotik Dyne Dish 6,
10.147.0.38,,Mikrotik Wireless 60G,
10.147.0.44,,Mikrotik Wireless 60G,
10.129.0.15,,Mikrotik Stx6,
10.129.0.14,,Mikrotik Stx6,
10.162.0.29,,Mikrotik Wireless 60G,
10.162.0.30,,Mikrotik Wireless 60G,
10.162.0.33,AP,Mikrotik Wireless 60G,
10.162.0.34,ST,Mikrotik Wireless 60G,
10.162.0.35,,Mikrotik Wireless 60G,
10.162.0.36,,Mikrotik Wireless 60G,
10.162.0.38,,Mikrotik Wireless 60G,
10.162.0.39,,Mikrotik Wireless 60G,
10.163.0.26,,Mikrotik Stx6,
10.135.0.58,,Mikrotik Wireless 60G,
10.135.0.73,,Mikrotik Wireless 60G,
10.162.0.40,62640,Mikrotik Wireless 60G,
10.162.0.41,58320,Mikrotik Wireless 60G,
10.162.0.45,,Mikrotik Wireless 60G,
10.162.0.44,,Mikrotik Wireless 60G,
10.162.0.47,,Mikrotik Wireless 60G,
10.162.0.46,,Mikrotik Wireless 60G,
10.162.0.122,,Mikrotik Wireless 60G,
10.162.0.123,,Mikrotik Wireless 60G,
10.162.0.51,58320,Mikrotik Wireless 60G,
10.162.0.52,58320,Mikrotik Wireless 60G,
10.162.0.53,64800,Mikrotik Wireless 60G,
10.162.0.54,64800,Mikrotik Wireless 60G,
10.162.0.55,60480,Mikrotik Wireless 60G,
10.162.0.56,60480,Mikrotik Wireless 60G,
10.162.0.59,,Mikrotik Wireless 60G,
10.162.0.60,,Mikrotik Wireless 60G,
10.167.0.24,,Mikrotik Wireless 60G,
10.167.0.34,,Mikrotik Wireless 60G,
10.162.0.73,60480,Mikrotik Wireless 60G,
10.162.0.74,60480,Mikrotik Wireless 60G,
10.136.0.15,,Mikrotik Wireless,
10.136.0.16,,Mikrotik Wireless,
10.162.0.77,,Mikrotik Wireless 60G,
10.162.0.78,,Mikrotik Wireless 60G,
10.162.0.79,,Mikrotik Wireless 60G,
10.162.0.80,,Mikrotik Wireless 60G,
